target,avg_grade,risk_score
Dropout,0.0,3
Graduate,13.83,1
Dropout,0.0,3
Graduate,12.91,2
Graduate,12.67,2
Graduate,11.68,2
Graduate,13.82,1
Dropout,0.0,3
Graduate,14.01,1
Dropout,12.45,2
Graduate,13.27,1
Graduate,13.21,1
Dropout,0.0,3
Graduate,10.79,2
Graduate,12.63,2
Dropout,6.6,3
Enrolled,11.5,2
Graduate,13.93,1
Graduate,12.38,2
Enrolled,12.58,2
Graduate,0.0,3
Enrolled,11.43,2
Graduate,12.86,2
Graduate,12.83,2
Graduate,13.71,1
Enrolled,11.3,2
Graduate,12.33,2
Enrolled,12.83,2
Graduate,12.17,2
Enrolled,13.33,1
Enrolled,11.21,2
Graduate,13.12,1
Enrolled,12.42,2
Graduate,13.52,1
Graduate,12.91,2
Dropout,5.0,3
Dropout,0.0,3
Dropout,11.0,2
Graduate,11.3,2
Dropout,11.83,2
Dropout,6.38,3
Graduate,15.3,1
Graduate,14.14,1
Dropout,13.4,1
Dropout,0.0,3
Enrolled,12.92,2
Graduate,12.43,2
Graduate,13.64,1
Graduate,12.39,2
Graduate,12.58,2
Graduate,13.92,1
Enrolled,11.83,2
Enrolled,12.5,2
Graduate,15.26,1
Dropout,10.8,2
Graduate,13.32,1
Dropout,0.0,3
Dropout,12.95,2
Graduate,14.94,1
Enrolled,0.0,3
Graduate,12.68,2
Graduate,12.0,2
Enrolled,0.0,3
Enrolled,10.7,2
Enrolled,0.0,3
Dropout,11.45,2
Graduate,0.0,3
Graduate,12.5,2
Dropout,10.98,2
Enrolled,11.4,2
Enrolled,0.0,3
Graduate,12.86,2
Dropout,0.0,3
Dropout,11.83,2
Graduate,12.33,2
Dropout,10.6,2
Dropout,10.75,2
Graduate,13.5,1
Graduate,14.95,1
Graduate,11.83,2
Dropout,12.2,2
Dropout,0.0,3
Dropout,12.73,2
Enrolled,11.67,2
Graduate,11.0,2
Graduate,13.08,1
Graduate,11.05,2
Graduate,10.93,2
Enrolled,13.9,1
Enrolled,5.0,3
Dropout,0.0,3
Graduate,13.75,1
Dropout,6.0,3
Dropout,6.33,3
Graduate,12.1,2
Enrolled,13.63,1
Graduate,13.5,1
Graduate,14.11,1
Enrolled,14.0,1
Dropout,5.98,3
Dropout,13.14,1
Graduate,0.0,3
Dropout,0.0,3
Graduate,14.43,1
Dropout,0.0,3
Graduate,12.64,2
Dropout,0.0,3
Dropout,13.73,1
Dropout,12.78,2
Enrolled,12.33,2
Graduate,14.43,1
Enrolled,12.0,2
Graduate,13.1,1
Graduate,12.62,2
Dropout,12.52,2
Enrolled,12.31,2
Enrolled,10.38,2
Enrolled,10.5,2
Graduate,12.27,2
Graduate,13.3,1
Dropout,11.0,2
Graduate,11.03,2
Dropout,0.0,3
Graduate,13.5,1
Graduate,13.18,1
Dropout,6.05,3
Graduate,13.97,1
Enrolled,13.1,1
Graduate,13.33,1
Graduate,14.24,1
Dropout,13.49,1
Graduate,12.67,2
Graduate,13.5,1
Dropout,7.0,3
Graduate,11.69,2
Dropout,12.25,2
Graduate,11.85,2
Graduate,14.83,1
Enrolled,13.04,1
Graduate,17.36,1
Graduate,12.67,2
Graduate,12.33,2
Enrolled,0.0,3
Graduate,11.42,2
Graduate,12.97,2
Graduate,11.4,2
Dropout,0.0,3
Dropout,11.43,2
Graduate,13.77,1
Graduate,14.02,1
Enrolled,0.0,3
Graduate,12.9,2
Enrolled,11.58,2
Graduate,12.57,2
Dropout,11.33,2
Dropout,11.75,2
Graduate,11.2,2
Graduate,12.05,2
Graduate,11.42,2
Graduate,11.8,2
Dropout,13.08,1
Graduate,12.81,2
Graduate,15.14,1
Dropout,11.25,2
Graduate,14.2,1
Graduate,12.75,2
Enrolled,0.0,3
Graduate,11.33,2
Graduate,14.26,1
Dropout,11.67,2
Enrolled,10.88,2
Graduate,13.01,1
Graduate,11.68,2
Graduate,11.83,2
Dropout,12.46,2
Enrolled,12.58,2
Graduate,12.6,2
Dropout,11.95,2
Dropout,11.4,2
Dropout,14.47,1
Graduate,12.7,2
Enrolled,12.92,2
Dropout,6.0,3
Dropout,6.08,3
Dropout,0.0,3
Dropout,10.29,2
Enrolled,10.75,2
Graduate,13.05,1
Dropout,5.5,3
Graduate,11.75,2
Graduate,12.25,2
Enrolled,10.0,2
Dropout,0.0,3
Dropout,0.0,3
Graduate,12.24,2
Dropout,0.0,3
Graduate,12.93,2
Dropout,0.0,3
Graduate,13.5,1
Enrolled,11.58,2
Graduate,14.04,1
Graduate,11.25,2
Graduate,12.32,2
Graduate,11.94,2
Graduate,11.2,2
Graduate,10.88,2
Graduate,12.91,2
Graduate,14.0,1
Graduate,13.63,1
Dropout,13.26,1
Graduate,12.64,2
Graduate,12.92,2
Graduate,15.74,1
Dropout,0.0,3
Graduate,11.86,2
Enrolled,12.72,2
Graduate,11.6,2
Dropout,5.0,3
Dropout,5.0,3
Dropout,6.75,3
Graduate,12.67,2
Graduate,13.92,1
Dropout,11.88,2
Graduate,13.02,1
Graduate,14.33,1
Graduate,15.57,1
Graduate,12.4,2
Graduate,12.43,2
Dropout,0.0,3
Graduate,11.57,2
Graduate,12.76,2
Dropout,0.0,3
Graduate,13.1,1
Graduate,11.5,2
Dropout,13.5,1
Graduate,12.8,2
Graduate,13.28,1
Graduate,11.45,2
Dropout,13.88,1
Dropout,11.04,2
Enrolled,11.97,2
Enrolled,13.23,1
Graduate,12.6,2
Dropout,0.0,3
Graduate,12.63,2
Graduate,13.22,1
Graduate,13.15,1
Dropout,12.04,2
Graduate,11.79,2
Graduate,13.7,1
Enrolled,12.4,2
Dropout,13.92,1
Graduate,13.7,1
Enrolled,5.5,3
Graduate,11.6,2
Dropout,8.0,3
Graduate,12.95,2
Enrolled,12.17,2
Graduate,12.17,2
Dropout,12.42,2
Graduate,10.88,2
Dropout,0.0,3
Dropout,11.96,2
Graduate,14.0,1
Graduate,12.42,2
Graduate,11.96,2
Graduate,14.83,1
Graduate,12.1,2
Graduate,12.75,2
Graduate,13.67,1
Graduate,12.73,2
Dropout,11.5,2
Graduate,12.92,2
Graduate,13.11,1
Graduate,14.96,1
Graduate,14.54,1
Dropout,10.83,2
Dropout,12.38,2
Enrolled,13.79,1
Graduate,13.91,1
Graduate,11.7,2
Graduate,14.17,1
Graduate,13.9,1
Graduate,13.32,1
Graduate,12.33,2
Graduate,13.0,1
Enrolled,12.42,2
Graduate,11.75,2
Graduate,11.17,2
Graduate,13.39,1
Graduate,15.08,1
Graduate,14.08,1
Enrolled,12.21,2
Graduate,11.67,2
Dropout,11.67,2
Graduate,14.73,1
Graduate,13.92,1
Graduate,11.95,2
Graduate,12.82,2
Graduate,12.86,2
Graduate,12.98,2
Graduate,12.1,2
Graduate,15.64,1
Dropout,11.38,2
Dropout,0.0,3
Enrolled,11.0,2
Graduate,13.24,1
Dropout,5.5,3
Graduate,14.2,1
Dropout,11.3,2
Graduate,14.99,1
Dropout,11.33,2
Graduate,11.5,2
Graduate,13.53,1
Dropout,5.25,3
Graduate,16.3,1
Graduate,14.71,1
Graduate,14.02,1
Graduate,11.57,2
Enrolled,12.42,2
Dropout,0.0,3
Graduate,13.06,1
Graduate,14.18,1
Graduate,11.9,2
Enrolled,11.67,2
Graduate,11.12,2
Graduate,13.33,1
Graduate,11.43,2
Enrolled,12.0,2
Enrolled,12.8,2
Enrolled,12.33,2
Dropout,0.0,3
Graduate,12.5,2
Graduate,12.17,2
Graduate,12.92,2
Graduate,14.0,1
Graduate,14.79,1
Graduate,13.39,1
Graduate,12.3,2
Graduate,11.88,2
Enrolled,12.0,2
Dropout,0.0,3
Graduate,12.85,2
Graduate,13.55,1
Enrolled,12.5,2
Graduate,13.0,1
